country;confirmed;deaths;recovered;active
US;4290259;148011;1325804;2816444
US;4290259;148011;1325804;2816444
Brazil;2442375;87618;1846641;508116
Brazil;2442375;87618;1846641;508116
India;1480073;33408;951166;495499
India;1480073;33408;951166;495499
Russia;816680;13334;602249;201097
Russia;816680;13334;602249;201097
South Africa;452529;7067;274925;170537
South Africa;452529;7067;274925;170537
